run_id,class_id,class_name,precision,recall,f1
deeplab_K50_N2_remove-unknown,1,Artificial,0.8557163824251978,0.8896818673819944,0.8723686403942649
deeplab_K50_N2_remove-unknown,2,Woodland,0.7980220643112065,0.8529760363245238,0.8245844705134191
deeplab_K50_N2_remove-unknown,3,Arable,0.7636370185774025,0.8407681663245079,0.8003485676669511
deeplab_K50_N2_remove-unknown,4,Frygana,0.6244461415009129,0.5919550789719317,0.6077666789288511
deeplab_K50_N2_remove-unknown,5,Bareland,0.5931020936695233,0.6108267427468586,0.601833944057472
deeplab_K50_N2_remove-unknown,6,Water,0.9859561235101192,0.7923905880840257,0.8786389599280005
deeplab_K50_N2_remove-unknown,7,Permanent,0.8534544623692247,0.6145235215334065,0.7145445605243128
deeplab_K50_N3_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K50_N3_no-remove,1,Artificial,0.8499860169314014,0.8832380347310461,0.8662930547533971
deeplab_K50_N3_no-remove,2,Woodland,0.7850533869289456,0.8592812220586039,0.8204919242281279
deeplab_K50_N3_no-remove,3,Arable,0.7627675016483264,0.8609147934464152,0.8088747757034451
deeplab_K50_N3_no-remove,4,Frygana,0.6399139175357631,0.5581540632510418,0.5962442180766977
deeplab_K50_N3_no-remove,5,Bareland,0.5976979474920842,0.614072338117315,0.6057745109995085
deeplab_K50_N3_no-remove,6,Water,0.9884941630973377,0.8039746701168453,0.8867370566924074
deeplab_K50_N3_no-remove,7,Permanent,0.8233170970013075,0.6638721666875211,0.7350474057369216
deeplab_K50_N3_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K50_N3_remove-unknown,1,Artificial,0.876086224524155,0.8418090263071203,0.8586056586056586
deeplab_K50_N3_remove-unknown,2,Woodland,0.791109284427649,0.8605156055946118,0.8243541122362269
deeplab_K50_N3_remove-unknown,3,Arable,0.8058459355248548,0.8525400152727571,0.8285356081911138
deeplab_K50_N3_remove-unknown,4,Frygana,0.629238932208605,0.6162250755175988,0.6226640129517133
deeplab_K50_N3_remove-unknown,5,Bareland,0.5829663270183398,0.5976180986145533,0.5902012941128594
deeplab_K50_N3_remove-unknown,6,Water,0.9875548392873131,0.7977466690239315,0.8825608221942665
deeplab_K50_N3_remove-unknown,7,Permanent,0.79531412897287,0.6946950843679471,0.7416072477659936
deeplab_K50_N4_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K50_N4_no-remove,1,Artificial,0.8568017983805053,0.8892277283636877,0.8727136685397443
deeplab_K50_N4_no-remove,2,Woodland,0.7838952948483258,0.8624976134621528,0.8213201327558081
deeplab_K50_N4_no-remove,3,Arable,0.7946160111490445,0.8667058941449384,0.8290968514292198
deeplab_K50_N4_no-remove,4,Frygana,0.674200144544093,0.6266586310551885,0.6495606557177226
deeplab_K50_N4_no-remove,5,Bareland,0.5826501114749997,0.5862165588297875,0.5844278941782185
deeplab_K50_N4_no-remove,6,Water,0.986994163234232,0.8126255645381636,0.8913624103097509
deeplab_K50_N4_no-remove,7,Permanent,0.8318407113531452,0.634272711684532,0.7197449465899753
deeplab_K50_N4_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K50_N4_remove-unknown,1,Artificial,0.8582845148101909,0.8832345051531837,0.870580786117354
deeplab_K50_N4_remove-unknown,2,Woodland,0.8160489786559716,0.8342485666595464,0.8250484195413043
deeplab_K50_N4_remove-unknown,3,Arable,0.7714053630104079,0.8347650641809137,0.8018355169058033
deeplab_K50_N4_remove-unknown,4,Frygana,0.6081041495696585,0.5996119387627609,0.6038281871306508
deeplab_K50_N4_remove-unknown,5,Bareland,0.5924668687897485,0.5996844310318475,0.5960538015075265
